Day,Type,load_percent
145,Disk,3.7081889864635533
146,Disk,3.7081889864635533
147,Disk,3.7081889864635533
148,Disk,3.7081889864635533
149,Disk,3.7081889864635533
150,Disk,3.7081889864635533
151,Disk,3.7081888599943693
152,Disk,3.7081889864635533
153,Disk,3.7081889864635533
154,Disk,3.7081888599943693
155,Disk,3.7081889864635533
156,Disk,3.7081889864635533
157,Disk,3.7081889864635533
158,Disk,3.7081889864635533
159,Disk,3.7081889864635533
160,Disk,3.7081889864635533
161,Disk,3.7081889864635533
162,Disk,3.7081889864635533
163,Disk,3.7081889864635533
164,Disk,3.7081889864635533
165,Disk,3.7081889864635533
166,Disk,3.7081889864635533
167,Disk,3.7081889864635533
168,Disk,3.7081889864635533
169,Disk,3.7081889864635533
170,Disk,3.7081888599943693
171,Disk,3.7081889864635533
172,Disk,3.7081889864635533
173,Disk,3.7081889864635533
174,Disk,3.7081889864635533
175,Disk,3.7081889864635533
176,Disk,3.7081889864635533
177,Disk,3.7081889864635533
178,Disk,3.7081889864635533
179,Disk,3.7081889864635533
180,Disk,3.7081889864635533
1,Memory,3.8481717237070745
2,Memory,3.822751493202543
3,Memory,3.8078435025041717
4,Memory,3.833436434623277
5,Memory,3.8320699317678484
6,Memory,3.8281491901223768
7,Memory,3.8283738192710928
8,Memory,3.8275239315350458
9,Memory,3.827408903534211
10,Memory,3.8278160239145937
11,Memory,3.8280551246711854
12,Memory,3.827886998638513
13,Memory,3.827842519726072
14,Memory,3.827913707267754
15,Memory,3.8279087060503265
16,Memory,3.827882103829967
17,Memory,3.827871675759586
18,Memory,3.8278825294654926
19,Memory,3.827894340851332
20,Memory,3.827896788255605
21,Memory,3.827892106264822
22,Memory,3.8278878499095645
23,Memory,3.8278876370918016
24,Memory,3.827889446042786
25,Memory,3.827890403722719
26,Memory,3.8278900844960746
27,Memory,3.827889658860549
28,Memory,3.8278895524516674
29,Memory,3.8278899780871933
30,Memory,3.8278897652694304
31,Memory,3.8278897652694304
32,Memory,3.8278897652694304
33,Memory,3.827889658860549
34,Memory,3.8278897652694304
35,Memory,3.827889658860549
36,Memory,3.8278897652694304
37,Memory,3.827889658860549
38,Memory,3.8278897652694304
39,Memory,3.827889658860549
40,Memory,3.8278897652694304
41,Memory,3.8278897652694304
42,Memory,3.8278897652694304
43,Memory,3.827889658860549
44,Memory,3.8278897652694304
45,Memory,3.827889658860549
46,Memory,3.827889658860549
47,Memory,3.8278897652694304
48,Memory,3.8278897652694304
49,Memory,3.827889658860549
50,Memory,3.8278897652694304
51,Memory,3.827889658860549
52,Memory,3.8278897652694304
53,Memory,3.827889658860549
54,Memory,3.8278897652694304
55,Memory,3.8278897652694304
56,Memory,3.8278897652694304
57,Memory,3.827889658860549
58,Memory,3.8278897652694304
59,Memory,3.827889658860549
60,Memory,3.8278897652694304
61,Memory,3.827889658860549
62,Memory,3.8278897652694304
63,Memory,3.827889658860549
64,Memory,3.8278897652694304
65,Memory,3.827889658860549
66,Memory,3.8278897652694304
67,Memory,3.8278897652694304
68,Memory,3.8278897652694304
69,Memory,3.827889658860549
70,Memory,3.8278897652694304
71,Memory,3.827889658860549
72,Memory,3.827889658860549
73,Memory,3.8278897652694304
74,Memory,3.827889658860549
75,Memory,3.8278897652694304
76,Memory,3.827889658860549
77,Memory,3.8278897652694304
78,Memory,3.827889658860549
79,Memory,3.8278897652694304
80,Memory,3.827889658860549
81,Memory,3.8278897652694304
82,Memory,3.8278897652694304
83,Memory,3.827889658860549
84,Memory,3.8278897652694304
85,Memory,3.827889658860549
86,Memory,3.827889658860549
87,Memory,3.8278897652694304
88,Memory,3.827889658860549
89,Memory,3.8278897652694304
90,Memory,3.827889658860549
91,Memory,3.827889658860549
92,Memory,3.827889658860549
93,Memory,3.8278897652694304
94,Memory,3.827889658860549
95,Memory,3.8278897652694304
96,Memory,3.827889658860549
97,Memory,3.8278897652694304
98,Memory,3.827889658860549
99,Memory,3.8278897652694304
100,Memory,3.827889658860549
101,Memory,3.8278897652694304
102,Memory,3.827889658860549
103,Memory,3.8278897652694304
104,Memory,3.827889658860549
105,Memory,3.8278897652694304
106,Memory,3.827889658860549
107,Memory,3.8278897652694304
108,Memory,3.827889658860549
109,Memory,3.8278897652694304
110,Memory,3.827889658860549
111,Memory,3.8278897652694304
112,Memory,3.827889658860549
113,Memory,3.8278897652694304
114,Memory,3.8278897652694304
115,Memory,3.827889658860549
116,Memory,3.8278897652694304
117,Memory,3.827889658860549
118,Memory,3.827889658860549
119,Memory,3.8278897652694304
120,Memory,3.827889658860549
121,Memory,3.8278897652694304
122,Memory,3.827889658860549
123,Memory,3.8278897652694304
124,Memory,3.8278897652694304
125,Memory,3.827889658860549
126,Memory,3.8278897652694304
127,Memory,3.827889658860549
128,Memory,3.8278897652694304
129,Memory,3.827889658860549
130,Memory,3.8278897652694304
131,Memory,3.827889658860549
132,Memory,3.8278897652694304
133,Memory,3.827889658860549
134,Memory,3.8278897652694304
135,Memory,3.827889658860549
136,Memory,3.8278897652694304
137,Memory,3.8278897652694304
138,Memory,3.827889658860549
139,Memory,3.8278897652694304
140,Memory,3.827889658860549
141,Memory,3.8278897652694304
142,Memory,3.827889658860549
